persona,task_index,condition,round,criterion_name,mean_score,std_score,overall_weighted_mean
Derek Liang,1,D,5,Raw Evidence Over Prose Description,9.0,0.0,0.96
Derek Liang,1,D,5,Single Responder Principle,10.0,0.0,0.96
Derek Liang,1,D,5,Radical Brevity,9.0,0.0,0.96
James Okafor,0,A,1,Patient Flow Impact First,8.666666666666666,0.5773502691896257,0.9466666666666665
James Okafor,0,A,1,Fallback Procedures Included,10.0,0.0,0.9466666666666665
James Okafor,0,A,1,No Patient Identifiers,10.0,0.0,0.9466666666666665
James Okafor,0,A,1,Bounded Process Steps,10.0,0.0,0.9466666666666665
James Okafor,0,C,1,Patient Flow Impact First,9.0,0.0,0.95
James Okafor,0,C,1,Fallback Procedures Included,10.0,0.0,0.95
James Okafor,0,C,1,No Patient Identifiers,10.0,0.0,0.95
James Okafor,0,C,1,Bounded Process Steps,9.0,0.0,0.95
James Okafor,0,C,2,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,0,C,2,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,0,C,2,No Patient Identifiers,10.0,0.0,0.96
James Okafor,0,C,2,Bounded Process Steps,10.0,0.0,0.96
James Okafor,0,C,3,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,0,C,3,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,0,C,3,No Patient Identifiers,10.0,0.0,0.96
James Okafor,0,C,3,Bounded Process Steps,10.0,0.0,0.96
James Okafor,0,C,4,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,0,C,4,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,0,C,4,No Patient Identifiers,10.0,0.0,0.96
James Okafor,0,C,4,Bounded Process Steps,10.0,0.0,0.96
James Okafor,0,C,5,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,0,C,5,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,0,C,5,No Patient Identifiers,10.0,0.0,0.96
James Okafor,0,C,5,Bounded Process Steps,10.0,0.0,0.96
James Okafor,0,D,1,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,0,D,1,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,0,D,1,No Patient Identifiers,10.0,0.0,0.96
James Okafor,0,D,1,Bounded Process Steps,10.0,0.0,0.96
James Okafor,0,D,2,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,0,D,2,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,0,D,2,No Patient Identifiers,10.0,0.0,0.96
James Okafor,0,D,2,Bounded Process Steps,10.0,0.0,0.96
James Okafor,0,D,3,Patient Flow Impact First,10.0,0.0,1.0
James Okafor,0,D,3,Fallback Procedures Included,10.0,0.0,1.0
James Okafor,0,D,3,No Patient Identifiers,10.0,0.0,1.0
James Okafor,0,D,3,Bounded Process Steps,10.0,0.0,1.0
James Okafor,0,D,4,Patient Flow Impact First,10.0,0.0,1.0
James Okafor,0,D,4,Fallback Procedures Included,10.0,0.0,1.0
James Okafor,0,D,4,No Patient Identifiers,10.0,0.0,1.0
James Okafor,0,D,4,Bounded Process Steps,10.0,0.0,1.0
James Okafor,0,D,5,Patient Flow Impact First,10.0,0.0,1.0
James Okafor,0,D,5,Fallback Procedures Included,10.0,0.0,1.0
James Okafor,0,D,5,No Patient Identifiers,10.0,0.0,1.0
James Okafor,0,D,5,Bounded Process Steps,10.0,0.0,1.0
James Okafor,1,A,1,Patient Flow Impact First,8.0,0.0,0.9066666666666667
James Okafor,1,A,1,Fallback Procedures Included,9.666666666666666,0.5773502691896257,0.9066666666666667
James Okafor,1,A,1,No Patient Identifiers,10.0,0.0,0.9066666666666667
James Okafor,1,A,1,Bounded Process Steps,9.666666666666666,0.5773502691896257,0.9066666666666667
James Okafor,1,C,1,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,1,C,1,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,1,C,1,No Patient Identifiers,10.0,0.0,0.96
James Okafor,1,C,1,Bounded Process Steps,10.0,0.0,0.96
James Okafor,1,C,2,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,1,C,2,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,1,C,2,No Patient Identifiers,10.0,0.0,0.96
James Okafor,1,C,2,Bounded Process Steps,10.0,0.0,0.96
James Okafor,1,C,3,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,1,C,3,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,1,C,3,No Patient Identifiers,10.0,0.0,0.96
James Okafor,1,C,3,Bounded Process Steps,10.0,0.0,0.96
James Okafor,1,C,4,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,1,C,4,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,1,C,4,No Patient Identifiers,10.0,0.0,0.96
James Okafor,1,C,4,Bounded Process Steps,10.0,0.0,0.96
James Okafor,1,C,5,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,1,C,5,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,1,C,5,No Patient Identifiers,10.0,0.0,0.96
James Okafor,1,C,5,Bounded Process Steps,10.0,0.0,0.96
James Okafor,1,D,1,"Patient Flow Impact First (priority 1, category: Structure, confidence: high)",9.0,0.0,0.96
James Okafor,1,D,1,"Fallback Procedures Included (priority 2, category: Content, confidence: high)",10.0,0.0,0.96
James Okafor,1,D,1,"No Patient Identifiers (priority 3, category: Audience, confidence: high)",10.0,0.0,0.96
James Okafor,1,D,1,"Bounded Process Steps (priority 4, category: Structure, confidence: high)",9.0,0.0,0.96
James Okafor,1,D,1,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,1,D,1,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,1,D,1,No Patient Identifiers,10.0,0.0,0.96
James Okafor,1,D,1,Bounded Process Steps,10.0,0.0,0.96
James Okafor,1,D,2,Patient Flow Impact First,9.0,0.0,0.96
James Okafor,1,D,2,Fallback Procedures Included,10.0,0.0,0.96
James Okafor,1,D,2,No Patient Identifiers,10.0,0.0,0.96
James Okafor,1,D,2,Bounded Process Steps,10.0,0.0,0.96
James Okafor,1,D,3,Patient Flow Impact First,10.0,0.0,0.97
James Okafor,1,D,3,Fallback Procedures Included,9.0,0.0,0.97
James Okafor,1,D,3,No Patient Identifiers,10.0,0.0,0.97
James Okafor,1,D,3,Bounded Process Steps,10.0,0.0,0.97
James Okafor,1,D,4,Patient Flow Impact First,10.0,0.0,1.0
James Okafor,1,D,4,Fallback Procedures Included,10.0,0.0,1.0
James Okafor,1,D,4,No Patient Identifiers,10.0,0.0,1.0
James Okafor,1,D,4,Bounded Process Steps,10.0,0.0,1.0
James Okafor,1,D,5,Patient Flow Impact First,10.0,0.0,1.0
James Okafor,1,D,5,Fallback Procedures Included,10.0,0.0,1.0
James Okafor,1,D,5,No Patient Identifiers,10.0,0.0,1.0
James Okafor,1,D,5,Bounded Process Steps,10.0,0.0,1.0
Kofi Mensah,0,A,1,Specific Callback,9.0,0.0,0.8833333333333333
Kofi Mensah,0,A,1,No Commercial Terms in Writing,10.0,0.0,0.8833333333333333
Kofi Mensah,0,A,1,Re-engagement Over Check-ins,8.666666666666666,0.5773502691896257,0.8833333333333333
Kofi Mensah,0,A,1,Risk-First Internal Updates,5.0,0.0,0.8833333333333333
Kofi Mensah,0,C,1,Specific Callback,9.0,0.0,0.87
Kofi Mensah,0,C,1,No Commercial Terms in Writing,10.0,0.0,0.87
Kofi Mensah,0,C,1,Re-engagement Over Check-ins,8.0,0.0,0.87
Kofi Mensah,0,C,1,Risk-First Internal Updates,5.0,0.0,0.87
Kofi Mensah,0,C,2,Specific Callback,9.0,0.0,0.84
Kofi Mensah,0,C,2,No Commercial Terms in Writing,9.0,0.0,0.84
Kofi Mensah,0,C,2,Re-engagement Over Check-ins,8.0,0.0,0.84
Kofi Mensah,0,C,2,Risk-First Internal Updates,5.0,0.0,0.84
Kofi Mensah,0,C,3,Specific Callback,9.333333333333334,0.5773502691896257,0.9600000000000002
Kofi Mensah,0,C,3,No Commercial Terms in Writing,10.0,0.0,0.9600000000000002
Kofi Mensah,0,C,3,Re-engagement Over Check-ins,9.333333333333334,0.5773502691896257,0.9600000000000002
Kofi Mensah,0,C,3,Risk-First Internal Updates,10.0,0.0,0.9600000000000002
Kofi Mensah,0,C,4,Specific Callback,10.0,0.0,1.0
Kofi Mensah,0,C,4,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,0,C,4,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,0,C,4,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,0,C,5,Specific Callback,10.0,0.0,1.0
Kofi Mensah,0,C,5,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,0,C,5,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,0,C,5,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,0,D,1,Specific Callback,9.0,0.0,0.89
Kofi Mensah,0,D,1,No Commercial Terms in Writing,10.0,0.0,0.89
Kofi Mensah,0,D,1,Re-engagement Over Check-ins,9.0,0.0,0.89
Kofi Mensah,0,D,1,Risk-First Internal Updates,5.0,0.0,0.89
Kofi Mensah,0,D,2,Specific Callback,10.0,0.0,0.91
Kofi Mensah,0,D,2,No Commercial Terms in Writing,10.0,0.0,0.91
Kofi Mensah,0,D,2,Re-engagement Over Check-ins,10.0,0.0,0.91
Kofi Mensah,0,D,2,Risk-First Internal Updates,1.0,0.0,0.91
Kofi Mensah,0,D,3,Specific Callback,10.0,0.0,0.9933333333333333
Kofi Mensah,0,D,3,No Commercial Terms in Writing,10.0,0.0,0.9933333333333333
Kofi Mensah,0,D,3,Re-engagement Over Check-ins,9.666666666666666,0.5773502691896257,0.9933333333333333
Kofi Mensah,0,D,3,Risk-First Internal Updates,10.0,0.0,0.9933333333333333
Kofi Mensah,0,D,4,Specific Callback,10.0,0.0,1.0
Kofi Mensah,0,D,4,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,0,D,4,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,0,D,4,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,0,D,5,Specific Callback,10.0,0.0,1.0
Kofi Mensah,0,D,5,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,0,D,5,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,0,D,5,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,1,A,1,Specific Callback,8.0,0.0,0.8033333333333332
Kofi Mensah,1,A,1,No Commercial Terms in Writing,10.0,0.0,0.8033333333333332
Kofi Mensah,1,A,1,Re-engagement Over Check-ins,8.666666666666666,0.5773502691896257,0.8033333333333332
Kofi Mensah,1,A,1,Risk-First Internal Updates,1.0,0.0,0.8033333333333332
Kofi Mensah,1,C,1,Specific Callback,9.0,0.0,0.8233333333333333
Kofi Mensah,1,C,1,No Commercial Terms in Writing,8.666666666666666,0.5773502691896257,0.8233333333333333
Kofi Mensah,1,C,1,Re-engagement Over Check-ins,7.666666666666667,0.5773502691896257,0.8233333333333333
Kofi Mensah,1,C,1,Risk-First Internal Updates,5.0,0.0,0.8233333333333333
Kofi Mensah,1,C,2,Specific Callback,9.0,0.0,0.89
Kofi Mensah,1,C,2,No Commercial Terms in Writing,10.0,0.0,0.89
Kofi Mensah,1,C,2,Re-engagement Over Check-ins,9.0,0.0,0.89
Kofi Mensah,1,C,2,Risk-First Internal Updates,5.0,0.0,0.89
Kofi Mensah,1,C,3,Specific Callback,10.0,0.0,1.0
Kofi Mensah,1,C,3,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,1,C,3,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,1,C,3,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,1,C,4,Specific Callback,9.0,0.0,0.92
Kofi Mensah,1,C,4,No Commercial Terms in Writing,9.333333333333334,0.5773502691896257,0.92
Kofi Mensah,1,C,4,Re-engagement Over Check-ins,9.0,0.0,0.92
Kofi Mensah,1,C,4,Risk-First Internal Updates,10.0,0.0,0.92
Kofi Mensah,1,C,5,Specific Callback,10.0,0.0,1.0
Kofi Mensah,1,C,5,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,1,C,5,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,1,C,5,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,1,D,1,Specific Callback,9.0,0.0,0.78
Kofi Mensah,1,D,1,No Commercial Terms in Writing,7.0,0.0,0.78
Kofi Mensah,1,D,1,Re-engagement Over Check-ins,8.666666666666666,0.5773502691896257,0.78
Kofi Mensah,1,D,1,Risk-First Internal Updates,3.6666666666666665,2.309401076758503,0.78
Kofi Mensah,1,D,2,Specific Callback,9.0,0.0,0.8966666666666667
Kofi Mensah,1,D,2,No Commercial Terms in Writing,8.666666666666666,0.5773502691896257,0.8966666666666667
Kofi Mensah,1,D,2,Re-engagement Over Check-ins,9.0,0.0,0.8966666666666667
Kofi Mensah,1,D,2,Risk-First Internal Updates,9.666666666666666,0.5773502691896257,0.8966666666666667
Kofi Mensah,1,D,3,Specific Callback,10.0,0.0,1.0
Kofi Mensah,1,D,3,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,1,D,3,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,1,D,3,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,1,D,4,Specific Callback,10.0,0.0,1.0
Kofi Mensah,1,D,4,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,1,D,4,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,1,D,4,Risk-First Internal Updates,10.0,0.0,1.0
Kofi Mensah,1,D,5,Specific Callback,10.0,0.0,1.0
Kofi Mensah,1,D,5,No Commercial Terms in Writing,10.0,0.0,1.0
Kofi Mensah,1,D,5,Re-engagement Over Check-ins,10.0,0.0,1.0
Kofi Mensah,1,D,5,Risk-First Internal Updates,10.0,0.0,1.0
Lin Zhang,0,A,1,External Constraint Framing,9.0,0.0,0.7533333333333333
Lin Zhang,0,A,1,Budget Gap Transparency,5.0,0.0,0.7533333333333333
Lin Zhang,0,A,1,Direct Resource Provision,9.0,0.0,0.7533333333333333
Lin Zhang,0,A,1,Transparent CC Purpose,6.333333333333333,0.5773502691896257,0.7533333333333333
Lin Zhang,0,C,1,External Constraint Framing,10.0,0.0,0.81
Lin Zhang,0,C,1,Budget Gap Transparency,5.0,0.0,0.81
Lin Zhang,0,C,1,Direct Resource Provision,9.333333333333334,0.5773502691896257,0.81
Lin Zhang,0,C,1,Transparent CC Purpose,7.333333333333333,0.5773502691896257,0.81
Lin Zhang,0,C,2,External Constraint Framing,10.0,0.0,0.8433333333333333
Lin Zhang,0,C,2,Budget Gap Transparency,5.0,0.0,0.8433333333333333
Lin Zhang,0,C,2,Direct Resource Provision,9.666666666666666,0.5773502691896257,0.8433333333333333
Lin Zhang,0,C,2,Transparent CC Purpose,10.0,0.0,0.8433333333333333
Lin Zhang,0,C,3,External Constraint Framing,10.0,0.0,0.8366666666666667
Lin Zhang,0,C,3,Budget Gap Transparency,5.0,0.0,0.8366666666666667
Lin Zhang,0,C,3,Direct Resource Provision,9.333333333333334,0.5773502691896257,0.8366666666666667
Lin Zhang,0,C,3,Transparent CC Purpose,10.0,0.0,0.8366666666666667
Lin Zhang,0,C,4,External Constraint Framing,10.0,0.0,0.85
Lin Zhang,0,C,4,Budget Gap Transparency,5.0,0.0,0.85
Lin Zhang,0,C,4,Direct Resource Provision,10.0,0.0,0.85
Lin Zhang,0,C,4,Transparent CC Purpose,10.0,0.0,0.85
Lin Zhang,0,C,5,External Constraint Framing,10.0,0.0,0.85
Lin Zhang,0,C,5,Budget Gap Transparency,5.0,0.0,0.85
Lin Zhang,0,C,5,Direct Resource Provision,10.0,0.0,0.85
Lin Zhang,0,C,5,Transparent CC Purpose,10.0,0.0,0.85
Lin Zhang,0,D,1,External Constraint Framing,9.0,0.0,0.7566666666666667
Lin Zhang,0,D,1,Budget Gap Transparency,5.0,0.0,0.7566666666666667
Lin Zhang,0,D,1,Direct Resource Provision,9.0,0.0,0.7566666666666667
Lin Zhang,0,D,1,Transparent CC Purpose,6.666666666666667,0.5773502691896257,0.7566666666666667
Lin Zhang,0,D,2,External Constraint Framing,9.0,0.0,0.7566666666666667
Lin Zhang,0,D,2,Budget Gap Transparency,5.0,0.0,0.7566666666666667
Lin Zhang,0,D,2,Direct Resource Provision,9.0,0.0,0.7566666666666667
Lin Zhang,0,D,2,Transparent CC Purpose,6.666666666666667,0.5773502691896257,0.7566666666666667
Lin Zhang,0,D,3,External Constraint Framing,9.0,0.0,0.94
Lin Zhang,0,D,3,Budget Gap Transparency,10.0,0.0,0.94
Lin Zhang,0,D,3,Direct Resource Provision,9.0,0.0,0.94
Lin Zhang,0,D,3,Transparent CC Purpose,10.0,0.0,0.94
Lin Zhang,0,D,4,External Constraint Framing,10.0,0.0,1.0
Lin Zhang,0,D,4,Budget Gap Transparency,10.0,0.0,1.0
Lin Zhang,0,D,4,Direct Resource Provision,10.0,0.0,1.0
Lin Zhang,0,D,4,Transparent CC Purpose,10.0,0.0,1.0
Lin Zhang,0,D,5,External Constraint Framing,10.0,0.0,1.0
Lin Zhang,0,D,5,Budget Gap Transparency,10.0,0.0,1.0
Lin Zhang,0,D,5,Direct Resource Provision,10.0,0.0,1.0
Lin Zhang,0,D,5,Transparent CC Purpose,10.0,0.0,1.0
Lin Zhang,1,A,1,External Constraint Framing,9.0,0.0,0.9
Lin Zhang,1,A,1,Budget Gap Transparency,10.0,0.0,0.9
Lin Zhang,1,A,1,Direct Resource Provision,9.0,0.0,0.9
Lin Zhang,1,A,1,Transparent CC Purpose,6.0,1.0,0.9
Lin Zhang,1,C,1,External Constraint Framing,7.0,0.0,0.7766666666666667
Lin Zhang,1,C,1,Budget Gap Transparency,9.0,0.0,0.7766666666666667
Lin Zhang,1,C,1,Direct Resource Provision,8.333333333333334,0.5773502691896257,0.7766666666666667
Lin Zhang,1,C,1,Transparent CC Purpose,6.0,0.0,0.7766666666666667
Lin Zhang,1,C,2,External Constraint Framing,9.0,0.0,0.94
Lin Zhang,1,C,2,Budget Gap Transparency,10.0,0.0,0.94
Lin Zhang,1,C,2,Direct Resource Provision,9.0,0.0,0.94
Lin Zhang,1,C,2,Transparent CC Purpose,10.0,0.0,0.94
Lin Zhang,1,C,3,External Constraint Framing,9.0,0.0,0.94
Lin Zhang,1,C,3,Budget Gap Transparency,10.0,0.0,0.94
Lin Zhang,1,C,3,Direct Resource Provision,9.0,0.0,0.94
Lin Zhang,1,C,3,Transparent CC Purpose,10.0,0.0,0.94
Lin Zhang,1,C,4,External Constraint Framing,10.0,0.0,1.0
Lin Zhang,1,C,4,Budget Gap Transparency,10.0,0.0,1.0
Lin Zhang,1,C,4,Direct Resource Provision,10.0,0.0,1.0
Lin Zhang,1,C,4,Transparent CC Purpose,10.0,0.0,1.0
Lin Zhang,1,C,5,External Constraint Framing,10.0,0.0,1.0
Lin Zhang,1,C,5,Budget Gap Transparency,10.0,0.0,1.0
Lin Zhang,1,C,5,Direct Resource Provision,10.0,0.0,1.0
Lin Zhang,1,C,5,Transparent CC Purpose,10.0,0.0,1.0
Lin Zhang,1,D,1,External Constraint Framing,7.0,0.0,0.7866666666666667
Lin Zhang,1,D,1,Budget Gap Transparency,9.0,0.0,0.7866666666666667
Lin Zhang,1,D,1,Direct Resource Provision,9.0,0.0,0.7866666666666667
Lin Zhang,1,D,1,Transparent CC Purpose,5.666666666666667,0.5773502691896257,0.7866666666666667
Lin Zhang,1,D,2,External Constraint Framing,9.0,0.0,0.9533333333333333
Lin Zhang,1,D,2,Budget Gap Transparency,10.0,0.0,0.9533333333333333
Lin Zhang,1,D,2,Direct Resource Provision,9.666666666666666,0.5773502691896257,0.9533333333333333
Lin Zhang,1,D,2,Transparent CC Purpose,10.0,0.0,0.9533333333333333
Lin Zhang,1,D,3,External Constraint Framing,9.0,0.0,0.94
Lin Zhang,1,D,3,Budget Gap Transparency,10.0,0.0,0.94
Lin Zhang,1,D,3,Direct Resource Provision,9.0,0.0,0.94
Lin Zhang,1,D,3,Transparent CC Purpose,10.0,0.0,0.94
Lin Zhang,1,D,4,External Constraint Framing,9.666666666666666,0.5773502691896257,0.9733333333333333
Lin Zhang,1,D,4,Budget Gap Transparency,10.0,0.0,0.9733333333333333
Lin Zhang,1,D,4,Direct Resource Provision,9.333333333333334,0.5773502691896257,0.9733333333333333
Lin Zhang,1,D,4,Transparent CC Purpose,10.0,0.0,0.9733333333333333
Lin Zhang,1,D,5,External Constraint Framing,9.0,0.0,0.96
Lin Zhang,1,D,5,Budget Gap Transparency,10.0,0.0,0.96
Lin Zhang,1,D,5,Direct Resource Provision,10.0,0.0,0.96
Lin Zhang,1,D,5,Transparent CC Purpose,10.0,0.0,0.96
Miriam Osei,0,A,1,Problem-First Policy Framing,10.0,0.0,0.9933333333333333
Miriam Osei,0,A,1,Named Human Contact Point,10.0,0.0,0.9933333333333333
Miriam Osei,0,A,1,Decision Attribution,9.666666666666666,0.5773502691896257,0.9933333333333333
Miriam Osei,0,A,1,Absolute Date Precision,10.0,0.0,0.9933333333333333
Miriam Osei,0,C,1,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,0,C,1,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,0,C,1,Decision Attribution,10.0,0.0,1.0
Miriam Osei,0,C,1,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,0,C,2,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,0,C,2,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,0,C,2,Decision Attribution,10.0,0.0,1.0
Miriam Osei,0,C,2,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,0,C,3,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,0,C,3,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,0,C,3,Decision Attribution,10.0,0.0,1.0
Miriam Osei,0,C,3,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,0,C,4,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,0,C,4,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,0,C,4,Decision Attribution,10.0,0.0,1.0
Miriam Osei,0,C,4,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,0,C,5,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,0,C,5,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,0,C,5,Decision Attribution,10.0,0.0,1.0
Miriam Osei,0,C,5,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,0,D,1,Problem-First Policy Framing,10.0,0.0,0.97
Miriam Osei,0,D,1,Named Human Contact Point,10.0,0.0,0.97
Miriam Osei,0,D,1,Decision Attribution,9.0,0.0,0.97
Miriam Osei,0,D,1,Absolute Date Precision,9.0,0.0,0.97
Miriam Osei,0,D,2,Problem-First Policy Framing,10.0,0.0,0.99
Miriam Osei,0,D,2,Named Human Contact Point,10.0,0.0,0.99
Miriam Osei,0,D,2,Decision Attribution,9.666666666666666,0.5773502691896257,0.99
Miriam Osei,0,D,2,Absolute Date Precision,9.666666666666666,0.5773502691896257,0.99
Miriam Osei,0,D,3,Problem-First Policy Framing,10.0,0.0,0.9933333333333333
Miriam Osei,0,D,3,Named Human Contact Point,10.0,0.0,0.9933333333333333
Miriam Osei,0,D,3,Decision Attribution,9.666666666666666,0.5773502691896257,0.9933333333333333
Miriam Osei,0,D,3,Absolute Date Precision,10.0,0.0,0.9933333333333333
Miriam Osei,0,D,4,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,0,D,4,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,0,D,4,Decision Attribution,10.0,0.0,1.0
Miriam Osei,0,D,4,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,0,D,5,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,0,D,5,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,0,D,5,Decision Attribution,10.0,0.0,1.0
Miriam Osei,0,D,5,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,1,A,1,Problem-First Policy Framing,9.0,0.0,0.9333333333333332
Miriam Osei,1,A,1,Named Human Contact Point,10.0,0.0,0.9333333333333332
Miriam Osei,1,A,1,Decision Attribution,8.666666666666666,0.5773502691896257,0.9333333333333332
Miriam Osei,1,A,1,Absolute Date Precision,10.0,0.0,0.9333333333333332
Miriam Osei,1,C,1,Problem-First Policy Framing,9.0,0.0,0.96
Miriam Osei,1,C,1,Named Human Contact Point,10.0,0.0,0.96
Miriam Osei,1,C,1,Decision Attribution,10.0,0.0,0.96
Miriam Osei,1,C,1,Absolute Date Precision,10.0,0.0,0.96
Miriam Osei,1,C,2,Problem-First Policy Framing,10.0,0.0,0.98
Miriam Osei,1,C,2,Named Human Contact Point,10.0,0.0,0.98
Miriam Osei,1,C,2,Decision Attribution,9.0,0.0,0.98
Miriam Osei,1,C,2,Absolute Date Precision,10.0,0.0,0.98
Miriam Osei,1,C,3,Problem-First Policy Framing,10.0,0.0,0.9933333333333333
Miriam Osei,1,C,3,Named Human Contact Point,10.0,0.0,0.9933333333333333
Miriam Osei,1,C,3,Decision Attribution,9.666666666666666,0.5773502691896257,0.9933333333333333
Miriam Osei,1,C,3,Absolute Date Precision,10.0,0.0,0.9933333333333333
Miriam Osei,1,C,4,Problem-First Policy Framing,9.666666666666666,0.5773502691896257,0.9733333333333333
Miriam Osei,1,C,4,Named Human Contact Point,10.0,0.0,0.9733333333333333
Miriam Osei,1,C,4,Decision Attribution,9.333333333333334,0.5773502691896257,0.9733333333333333
Miriam Osei,1,C,4,Absolute Date Precision,10.0,0.0,0.9733333333333333
Miriam Osei,1,C,5,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,1,C,5,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,1,C,5,Decision Attribution,10.0,0.0,1.0
Miriam Osei,1,C,5,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,1,D,1,Problem-First Policy Framing,9.0,0.0,0.96
Miriam Osei,1,D,1,Named Human Contact Point,10.0,0.0,0.96
Miriam Osei,1,D,1,Decision Attribution,10.0,0.0,0.96
Miriam Osei,1,D,1,Absolute Date Precision,10.0,0.0,0.96
Miriam Osei,1,D,2,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,1,D,2,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,1,D,2,Decision Attribution,10.0,0.0,1.0
Miriam Osei,1,D,2,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,1,D,3,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,1,D,3,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,1,D,3,Decision Attribution,10.0,0.0,1.0
Miriam Osei,1,D,3,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,1,D,4,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,1,D,4,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,1,D,4,Decision Attribution,10.0,0.0,1.0
Miriam Osei,1,D,4,Absolute Date Precision,10.0,0.0,1.0
Miriam Osei,1,D,5,Problem-First Policy Framing,10.0,0.0,1.0
Miriam Osei,1,D,5,Named Human Contact Point,10.0,0.0,1.0
Miriam Osei,1,D,5,Decision Attribution,10.0,0.0,1.0
Miriam Osei,1,D,5,Absolute Date Precision,10.0,0.0,1.0
Rachel Thornton,0,A,1,Decision Tradeoff Transparency,9.0,0.0,0.7566666666666667
Rachel Thornton,0,A,1,"Link, Don't Duplicate",7.0,0.0,0.7566666666666667
